label, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y
10, 0.397773, 0.33685, 0.505409, 0.78886, 0.353822, 0.2028, 0.448006, 0.490058, 0.527435, 0.0749925, 0.478488, 0.887447, 0.25211, 0.589155, 0.683655, 0.676313, 0.158722, 0.504821, 0.348715, 0.676393, 0.58161, 0.716152, 0.794269, 0.633128, 
10, 0.39891, 0.323616, 0.531038, 0.773629, 0.344335, 0.168206, 0.461623, 0.502201, 0.450405, 0.0958679, 0.628468, 0.853813, 0.242578, 0.534604, 0.709751, 0.683324, 0.145092, 0.449214, 0.350161, 0.628838, 0.612954, 0.707978, 0.814694, 0.656595, 
10, 0.446876, 0.348428, 0.52434, 0.722045, 0.413689, 0.16852, 0.472605, 0.487907, 0.491267, 0.0773865, 0.554197, 0.804927, 0.245249, 0.517654, 0.711053, 0.583905, 0.142505, 0.45864, 0.355287, 0.580858, 0.609087, 0.637556, 0.81979, 0.526691, 
10, 0.359214, 0.371011, 0.504229, 0.783061, 0.356376, 0.181138, 0.361606, 0.531028, 0.473602, 0.0866666, 0.534131, 0.857907, 0.232978, 0.570182, 0.667759, 0.670691, 0.140227, 0.468705, 0.326227, 0.672205, 0.560637, 0.685658, 0.77768, 0.655332, 
10, 0.439298, 0.287426, 0.52913, 0.78102, 0.44358, 0.145729, 0.434476, 0.446974, 0.530149, 0.117992, 0.528109, 0.857264, 0.245791, 0.542043, 0.733267, 0.631205, 0.135778, 0.495549, 0.35197, 0.586916, 0.615807, 0.702081, 0.835859, 0.5693, 
10, 0.424551, 0.282266, 0.493986, 0.7429, 0.373437, 0.137617, 0.482925, 0.447462, 0.571298, 0.0895674, 0.398999, 0.837994, 0.222847, 0.560449, 0.68921, 0.588551, 0.129109, 0.504076, 0.324179, 0.62139, 0.578342, 0.637079, 0.794762, 0.54235, 
10, 0.392837, 0.29867, 0.533762, 0.752035, 0.388563, 0.145485, 0.397242, 0.456557, 0.527255, 0.0892677, 0.540437, 0.833437, 0.255515, 0.527819, 0.694262, 0.637181, 0.161774, 0.477027, 0.351327, 0.579733, 0.594559, 0.639999, 0.808787, 0.633943, 
10, 0.461762, 0.358628, 0.540335, 0.742432, 0.484517, 0.195718, 0.446756, 0.466051, 0.588552, 0.0918488, 0.484291, 0.836781, 0.303022, 0.568067, 0.708521, 0.57039, 0.209142, 0.472778, 0.388976, 0.655312, 0.613043, 0.630255, 0.808013, 0.508008, 
10, 0.512274, 0.376287, 0.477492, 0.745851, 0.524732, 0.237024, 0.501705, 0.494418, 0.487941, 0.0823843, 0.466654, 0.829839, 0.293144, 0.608529, 0.701696, 0.554919, 0.191554, 0.590746, 0.389791, 0.625446, 0.598446, 0.641483, 0.812094, 0.46236, 
10, 0.389936, 0.315353, 0.569393, 0.734423, 0.393224, 0.144893, 0.387415, 0.446033, 0.519306, 0.09354, 0.614876, 0.812969, 0.309047, 0.48252, 0.677149, 0.627286, 0.197172, 0.402362, 0.399829, 0.547565, 0.582893, 0.569762, 0.809002, 0.707757, 
10, 0.443529, 0.36985, 0.55127, 0.768483, 0.463259, 0.19491, 0.427723, 0.510006, 0.557865, 0.0769053, 0.544602, 0.846002, 0.307645, 0.590077, 0.691316, 0.638085, 0.207097, 0.533622, 0.401806, 0.642946, 0.6001, 0.677692, 0.800324, 0.590752, 
10, 0.368914, 0.391001, 0.477713, 0.841633, 0.328136, 0.234603, 0.408827, 0.544083, 0.38966, 0.106771, 0.560456, 0.896475, 0.219702, 0.616983, 0.648553, 0.732677, 0.134978, 0.548945, 0.317504, 0.695525, 0.543538, 0.729924, 0.780111, 0.736126, 
10, 0.440401, 0.331803, 0.507533, 0.733044, 0.412308, 0.178204, 0.461281, 0.445965, 0.533284, 0.0922713, 0.480966, 0.823583, 0.259995, 0.539933, 0.699349, 0.564868, 0.149612, 0.491592, 0.357481, 0.582625, 0.593076, 0.587044, 0.807197, 0.542363, 
