x, y, label
345.561, 174.309, 1, 
472.965, 306.981, 1, 
171.528, 98.8838, 1, 
447.746, 218.595, 1, 
410.541, 272.694, 1, 
564.603, 357.315, 1, 
198.901, 195.852, 1, 
605.878, 285.498, 1, 
97.6684, 187.981, 1, 
294.151, 203.258, 1, 
517.556, 282.599, 1, 
710.267, 288.925, 1, 
352.132, 149.697, 2, 
354.572, 249.054, 2, 
130.599, 87.9195, 2, 
452.513, 177.69, 2, 
434.097, 227.077, 2, 
239.11, 280.962, 2, 
166.174, 201.345, 2, 
589.084, 208.212, 2, 
62.3387, 181.145, 2, 
268.061, 221.167, 2, 
476.865, 211.524, 2, 
710.61, 204.625, 2, 
307.099, 121.984, 3, 
331.914, 316.051, 3, 
197.242, 28.0421, 3, 
388.744, 191.801, 3, 
357.866, 280.911, 3, 
305.401, 351.951, 3, 
204.379, 213.997, 3, 
448.199, 267.561, 3, 
146.627, 220.016, 3, 
258.638, 208.343, 3, 
389.428, 270.567, 3, 
511.344, 264.332, 3, 
474.931, 182.396, 4, 
641.915, 353.585, 4, 
397.187, 82.9021, 4, 
520.989, 241.341, 4, 
689.044, 314.091, 4, 
601.06, 387.821, 4, 
282.626, 263.165, 4, 
864.857, 304.817, 4, 
142.798, 219.989, 4, 
434.449, 310.044, 4, 
754.262, 316.218, 4, 
981.887, 292.752, 4, 
369.581, 182.652, 5, 
570.08, 365.096, 5, 
336.052, 98.5667, 5, 
389.832, 233.441, 5, 
535.054, 322.457, 5, 
605.441, 408.143, 5, 
242.836, 248.225, 5, 
771.574, 321.127, 5, 
125.669, 213.307, 5, 
353.105, 281.088, 5, 
640.415, 327.907, 5, 
886.726, 315.173, 5, 
282.721, 133.349, 6, 
474.943, 268.048, 6, 
171.842, 75.4282, 6, 
402.807, 196.08, 6, 
497.397, 242.298, 6, 
444.219, 303.282, 6, 
213.591, 184.24, 6, 
619.863, 262.331, 6, 
119.734, 169.222, 6, 
297.974, 197.743, 6, 
527.858, 279.055, 6, 
701.657, 247.463, 6, 
24.5226, 88.3584, 7, 
126.603, 200.809, 7, 
30.4641, 51.452, 7, 
18.783, 124.01, 7, 
121.383, 185.179, 7, 
131.709, 216.101, 7, 
22.1854, 136.101, 7, 
185.729, 195.792, 7, 
5.63122, 135.746, 7, 
47.0333, 136.635, 7, 
134.853, 185.115, 7, 
225.938, 204.23, 7, 
386.335, 133.878, 8, 
605.572, 315.796, 8, 
392.847, 73.9103, 8, 
380.112, 191.192, 8, 
607.934, 279.929, 8, 
603.232, 351.323, 8, 
278.573, 218.318, 8, 
756.849, 264.126, 8, 
137.328, 182.087, 8, 
382.713, 245.031, 8, 
636.909, 225.269, 8, 
932.94, 321.173, 8, 
392.587, 152.188, 9, 
445.691, 297.734, 9, 
432.805, 97.6069, 9, 
360.463, 195.784, 9, 
387.065, 265.362, 9, 
513.571, 335.215, 9, 
149.762, 225.2, 9, 
655.534, 238.96, 9, 
57.003, 209.071, 9, 
284.409, 248.613, 9, 
565.823, 222.171, 9, 
736.512, 254.114, 9, 
429.146, 149.442, 10, 
544.621, 348.743, 10, 
379.776, 89.7033, 10, 
485.177, 217.241, 10, 
567.758, 313.169, 10, 
516.253, 392.358, 10, 
272.053, 260.553, 10, 
737.275, 299.403, 10, 
171.116, 222.982, 10, 
375.311, 298.988, 10, 
